valence_slider.response,valence_slider.rt,arousal_slider.response,arousal_slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,img_name,vm,am,manipulation,participant,session,date,expName,psychopyVersion,OS,frameRate
1.151685393,1.858,0.234082397,2.394,0,95,95,145,1,354_e46c3ec6fb00773f64f2bcd212385f253c389808fe724b7cf8611051_bw.jpg,2.018292,0.0,blackwhite,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
0.374531835,2.408,-2.481273408,4.356,0,96,96,344,1,494_5c6c3b85a2734a43c24bfe337d42ffcc82b7347227804d01c784cef4_edges.jpg,0.03871468,0.0,edges,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
-1.882022472,1.42,-2.584269663,2.14,0,97,97,333,1,482_a1cd28915c5044c018195ab0fff10dcc95e385246b045a7cd4463ff7_blur.jpg,-3.361852,-1.555612,blurring,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
-1.573033708,1.942,-2.780898876,2.641,0,98,98,396,1,683_a004ad18331da968da5debdd15e1447dd7748750af0bc6c57b844200_orig.jpg,-2.91956,2.466524,original,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
0.786516854,1.358,-1.807116105,2.227,0,99,99,498,1,854_081a8409e4d6d10923b2dedcc16a3fca405fcd602e55a20d84cac69d_orig.jpg,3.088264,1.21538,original,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
0.627340824,1.808,0.374531835,2.472,0,100,100,5,1,13_771f4fcf0a212d25d6a78565e7f34cc5ddd823e7afbdc77ef063326e_circblurext.jpg,2.190476,0.0,circularblurringext,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
0.47752809,1.273,0.393258427,2.388,0,101,101,8,1,28_6318543b74eeb646a1735477ebc023fdc9ac3849bc0db1957c272a26_edges.jpg,2.811244,-0.74584,edges,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
1.38576779,1.839,-1.367041199,3.586,0,102,102,184,1,369_98db62a1bdabfd1bc551180da6658005b461585cd21614633cf76470_circblurint.jpg,2.190476,-0.03174604,circularblurringint,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
-1.282771536,1.89,-1.161048689,2.505,0,103,103,581,1,1061_665178b9cb0bc869cc2e2b68def4838db04e66f9531098fb75875a09_circblurext.jpg,0.3492064,-0.3174604,circularblurringext,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
0.805243446,1.292,1.161048689,3.225,0,104,104,4,1,13_771f4fcf0a212d25d6a78565e7f34cc5ddd823e7afbdc77ef063326e_circblurint.jpg,2.190476,0.0,circularblurringint,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
-1.741573034,14.152,-2.209737828,15.047,0,105,105,204,1,381_5935a9f9796adce2f1539af6c75bcdc0c80d847a2ce9b77cf59b7672_orig.jpg,-1.327432,-0.442476,original,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
2.303370787,1.723,2.368913858,3.558,0,106,106,517,1,860_05c4e22518a30d3d2add458a8fc6488f87b9b02dd8e385ded939f025_bw.jpg,1.955092,0.3097172,blackwhite,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
-1.816479401,1.974,0.823970037,2.977,0,107,107,360,1,508_a7a9519cdc7aad6844030f4e6cd96cffd1b9c49b71e20ea52789bda2_orig.jpg,-3.000388,-1.29694,original,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
0.571161049,2.007,-1.928838951,2.773,0,108,108,285,1,440_dc6413e2b65369ee2587f4d85621742fe4ca87392d0a8ad2ea7d94e3_blur.jpg,-3.016216,1.69404,blurring,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
1.329588015,1.341,1.676029963,1.924,0,109,109,177,1,368_6507b94d7d0199f14efd3706db30c9c44b96085f84e9cc7792e3e0ae_blur.jpg,1.959544,0.400336,blurring,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
-1.975655431,2.323,-2.621722846,3.11,0,110,110,308,1,455_34a7d8167619d110206c369e3f7dce8a3f99db763a9d8e2b956501d3_edges.jpg,-2.526412,-0.3827896,edges,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
-2.415730337,2.441,-0.730337079,4.057,0,111,111,403,1,686_6745b57686ad5d1bd6cf3e7ed5bc0243a154f8939e88e30321dfcfdb_bw.jpg,-1.523808,3.650792,blackwhite,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
0.889513109,1.692,0.74906367,2.174,0,112,112,76,1,236_f645730e1eb06155418c9a571329cc7fa320654fcaaedf1048b5cc11_circblurint.jpg,2.253968,0.0,circularblurringint,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
2.312734082,1.474,1.779026217,2.492,0,113,113,7,1,28_6318543b74eeb646a1735477ebc023fdc9ac3849bc0db1957c272a26_bw.jpg,2.811244,-0.74584,blackwhite,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
0.664794007,2.625,-2.18164794,3.206,0,114,114,446,1,709_69c01dcde028a2a1a913f1a2a5026ae1748484f75c89217a040c6791_edges.jpg,1.432444,-0.01935732,edges,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
-2.059925094,1.559,-2.013108614,2.194,0,115,115,439,1,700_59cb565f134f1afd066d7b6d936c6511b7cb76de0e9cbb5ce15124ad_bw.jpg,0.0,0.0,blackwhite,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
0.74906367,3.986,-1.797752809,4.608,0,116,116,69,1,172_c641c6c56ca6b594b773084e1363c852abdb65f988d7ff802ee503f2_blur.jpg,0.379572,0.01725328,blurring,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
-1.86329588,4.269,-3.174157303,4.99,0,117,117,85,1,243_beddb302dcb21071d88c8d2cab07002050d36b3001ef28f89389fa56_bw.jpg,-0.3450656,-0.2070392,blackwhite,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
0.561797753,1.307,-2.275280899,1.94,0,118,118,422,1,692_e3e3bf88684fbbcdb9849a4147f9e2fcd39b0f083554a829aca4e9fa_edges.jpg,-0.44522,3.135888,edges,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
-1.348314607,2.469,-1.329588015,3.131,0,119,119,413,1,687_e3b018945792a574962235c88c553b7c318c75eec2596478e8a7b877_circblurext.jpg,3.63918,-0.42586,circularblurringext,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
0.664794007,1.391,0.056179775,2.052,0,120,120,549,1,1010_06d15f44b979c086561137000ec070ba4cd479856f92840a7850b2bf_blur.jpg,0.189786,-0.189786,blurring,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
-2.996254682,1.608,-0.15917603,3.872,0,121,121,511,1,858_2f6539ee36aba48c38dc716d4f7c3ae93367d6ddf23ab41745d4172c_bw.jpg,0.0623832,0.176752,blackwhite,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
