n200,valence
-16.02814700487255,3.201210214
-9.622165430816912,0.243994681
-12.01206239366016,0.439190426
-7.36825317423228,0.751503617
-13.23031431562804,0.087838085
-23.93888129386567,0.546548085
-13.325082095265811,0.936939575
-19.827636316738428,0.956459149
-11.841335981662619,0.829581915
-5.001143517599694,-2.40721399
-19.24146932816682,-0.510049313
-6.895086141094457,-1.217155314
-9.022921868954377,0.955875697
-21.378111558958803,-1.713485432
-11.116501995644516,-0.408473783
-16.70939311861451,0.733790023
-14.677235644082202,0.349430841
-19.81861690970759,-0.346832847
-17.511086026054492,-0.338137052
-18.47696809573175,-1.229952123
-12.244116167998886,0.817288174
8.180720449325214,0.539740516
-6.486332243461482,-0.999965025
-19.710387329329592,-0.426734039
-10.581348061914289,-0.527012286
-13.607084163216516,-1.462716663
-2.221648275273249,-1.252125944
-9.569012712963866,2.254660389
-12.276695507148068,3.016612307
-10.688061902945094,-1.974206131
-4.038168072712561,0.732666473
-11.634964536167477,-0.318351488
-8.183101124884688,0.093633245
-11.436595291119147,-0.646067416
-16.722204663281467,-0.730337079
-11.637655315589102,-1.142321812
-9.649157709347584,-2.453182949
-13.272291788772863,0.730337079
-6.254209446616114,-1.3951308
-4.880357669417715,-2.986890814
-5.966403381043395,1.226592332
-14.128579528140255,0.421348315
-10.404420962155196,0.945693455
-13.096340758418444,0.842696629
-6.568550855816629,0.674157303
-5.958831648923444,-0.777153272
-9.998184861384095,-2.041198216
-13.30497730795314,1.1048692
-5.179231340754946,1.460674157
-1.593714925090347,-1.179775281
-10.090021393006824,-0.47752809
-1.4117231214797434,-1.797752809
-13.424276701713556,-2.640449438
-2.1910701179856455,-2.23782743
-7.343859431667016,1.376404494
-6.57292337139121,1.872659748
-7.456314370395589,-2.593632387
-8.42094516690806,-0.093632387
-5.7616142857518104,1.816479972
-8.745085084714097,1.338951882
-1.3101015480047946,1.273409383
-6.161913787384216,1.06741573
-9.650247685856613,-0.252808989
-10.014210972109348,0.852060211
-17.37118051582669,-1.207865169
-5.246700981082323,-0.80524316
-13.707988175180487,-2.471910112
-10.951289420671038,1.235955056
-17.55535467985436,0.636704691
-3.0595172106876567,0.870786517
2.44901349294581,1.320224719
-14.389618510567315,1.142322669
